Date,AAPL,MSFT,SPX
2011-10-21,52.258137,24.273575,1238.25
2011-10-24,53.974047999999996,24.300387,1254.189941
2011-10-25,52.909918000000005,23.960770999999998,1229.050049
2011-10-26,53.286354,23.764152,1242.0
2011-10-27,53.830391000000006,24.354011,1284.589966
2011-10-28,53.864971999999995,24.112704,1285.089966
2011-10-31,53.842361,23.7999,1253.300049
2011-11-01,52.74231700000001,23.227917,1218.280029
2011-11-02,52.86203100000001,23.245792,1237.900024
2011-11-03,53.614903000000005,23.710529,1261.150024
2011-11-04,53.23846700000001,23.460285,1253.22998
2011-11-07,53.170629000000005,23.951833999999998,1261.119995
2011-11-08,54.035233,24.273575,1275.920044
2011-11-09,52.57870500000001,23.4156,1229.099976
2011-11-10,51.240561,23.487098,1239.699951
2011-11-11,51.16075,24.050144,1263.849976
2011-11-14,50.447784000000006,23.916085,1251.780029
2011-11-15,51.720749,24.078166,1257.810059
2011-11-16,51.180704999999996,23.474861999999998,1236.910034
2011-11-17,50.201703,22.997621,1216.130005
2011-11-18,49.873154,22.781511,1215.650024
2011-11-21,49.084365000000005,22.511375,1192.97998
2011-11-22,50.081989,22.32228,1188.040039
2011-11-23,48.815673,22.034132999999997,1161.790039
2011-11-25,48.360757,21.881056,1158.670044
2011-11-28,50.030113,22.394317,1192.550049
2011-11-29,49.641704,22.367302,1195.189941
2011-11-30,50.83885,23.033639,1246.959961
2011-12-01,51.601034999999996,22.763503,1244.579956
2011-12-02,51.836474,22.709474,1244.280029
2011-12-05,52.276759999999996,23.141694,1257.079956
2011-12-06,52.002743,23.105675,1258.469971
2011-12-07,51.755334000000005,23.051648,1261.01001
2011-12-08,51.964169,22.871557,1234.349976
2011-12-09,52.3579,23.141694,1255.189941
2011-12-12,52.121128999999996,22.970607,1236.469971
2011-12-13,51.718089,23.195721,1225.72998
2011-12-14,50.571490000000004,23.042644,1211.819946
2011-12-15,50.405217,23.015629,1215.75
2011-12-16,50.681891,23.41183,1219.660034
2011-12-19,50.840182,22.988617,1205.349976
2011-12-20,52.667826,23.438844,1241.300049
2011-12-21,52.734336,23.195721,1243.719971
2011-12-22,53.01366899999999,23.240743,1254.0
2011-12-23,53.649488,23.438844,1265.329956
2011-12-27,54.075139,23.447848999999998,1265.430054
2011-12-28,53.557706,23.249748,1249.640015
2011-12-29,53.887586999999996,23.429839,1263.02002
2011-12-30,53.871625,23.375811,1257.599976
2012-01-03,54.700316,24.105180999999998,1277.060059
2012-01-04,54.99428399999999,24.672467,1277.300049
2012-01-05,55.604827,24.924595,1281.060059
2012-01-06,56.186108999999995,25.311791,1277.810059
2012-01-09,56.096988,24.978621,1280.699951
2012-01-10,56.297842,25.068667,1292.079956
2012-01-11,56.20606,24.960612,1292.47998
2012-01-12,56.051761,25.21274,1295.5
2012-01-13,55.841598,25.437854,1289.089966
2012-01-17,56.492047,25.446858,1293.670044
2012-01-18,57.07865,25.419844,1308.040039
2012-01-19,56.897746999999995,25.320795,1314.5
2012-01-20,55.906776,26.752516999999997,1315.380005
2012-01-23,56.85252,26.770527,1316.0
2012-01-24,55.921406000000005,26.41935,1314.650024
2012-01-25,59.413084999999995,26.617449,1326.060059
2012-01-26,59.143060999999996,26.563421999999996,1318.430054
2012-01-27,59.495557,26.320299,1316.329956
2012-01-30,60.257739,26.662473,1313.01001
2012-01-31,60.719304,26.590436999999998,1312.410034
2012-02-01,60.680730000000004,26.914599,1324.089966
2012-02-02,60.53840400000001,26.968628000000002,1325.540039
2012-02-03,61.144959,27.229759,1344.900024
2012-02-06,61.715596,27.193741999999997,1344.329956
2012-02-07,62.36206,27.328809999999997,1347.050049
2012-02-08,63.406239,27.60795,1349.959961
2012-02-09,65.599677,27.707001,1351.949951
2012-02-10,65.63293,27.463877,1342.640015
2012-02-13,66.854024,27.535914000000002,1351.77002
2012-02-14,67.766512,27.418084999999998,1350.5
2012-02-15,66.198247,27.236808,1343.22998
2012-02-16,66.802144,28.360723999999998,1358.040039
2012-02-17,66.790174,28.324468,1361.22998
2012-02-21,68.483474,28.496681,1362.209961
2012-02-22,68.242711,28.342596,1357.660034
2012-02-23,68.688313,28.433234999999996,1363.459961
2012-02-24,69.489072,28.532936,1365.73999
2012-02-27,69.934682,28.415107,1367.589966
2012-02-28,71.218289,28.886426,1372.180054
2012-02-29,72.153396,28.768596000000002,1365.680054
2012-03-01,72.423413,29.267107,1374.089966
2012-03-02,72.51785799999999,29.076767999999998,1369.630005
2012-03-05,70.919004,28.822978000000003,1364.329956
2012-03-06,70.533251,28.605446,1343.359985
2012-03-07,70.590452,28.859234000000004,1352.630005
2012-03-08,72.093532,29.013317999999998,1365.910034
2012-03-09,72.51653,28.995191,1370.869995
2012-03-12,73.425026,29.040511,1371.089966
2012-03-13,75.566592,29.61153,1395.949951
2012-03-14,78.423785,29.702171000000003,1394.280029
2012-03-15,77.889057,29.774679,1402.599976
2012-03-16,77.89038599999999,29.548084000000003,1404.170044
2012-03-19,79.956133,29.185533000000003,1409.75
2012-03-20,80.602589,28.995191,1405.52002
2012-03-21,80.142353,28.922681,1402.890015
2012-03-22,79.722026,29.004255,1392.780029
2012-03-23,79.284401,29.013317999999998,1397.109985
2012-03-26,80.738265,29.539021,1416.51001
2012-03-27,81.735893,29.475575,1412.52002
2012-03-28,82.153563,29.176467,1405.540039
2012-03-29,81.121354,29.113020000000002,1403.280029
2012-03-30,79.74995799999999,29.239913,1408.469971
2012-04-02,82.287911,29.267107,1419.040039
2012-04-03,83.709851,28.949872999999997,1413.380005
2012-04-04,83.04344,28.288211999999998,1398.959961
2012-04-05,84.28980200000001,28.569191999999997,1398.079956
2012-04-09,84.628996,28.188511,1382.199951
2012-04-10,83.592801,27.617489000000003,1358.589966
2012-04-11,83.294845,27.508724,1368.709961
2012-04-12,82.838594,28.079744,1387.569946
2012-04-13,80.505487,27.925659000000003,1370.26001
2012-04-16,77.166782,28.170383,1369.569946
2012-04-17,81.100071,28.496681,1390.780029
2012-04-18,80.919172,28.224765,1385.140015
2012-04-19,78.139127,28.106935999999997,1376.920044
2012-04-20,76.215712,29.384934,1378.530029
2012-04-23,76.045448,29.113020000000002,1366.939941
2012-04-24,74.52640500000001,28.931745000000003,1371.969971
2012-04-25,81.13998000000001,29.185533000000003,1390.689941
2012-04-26,80.834039,29.103958000000002,1399.97998
2012-04-27,80.208866,28.986127000000003,1403.359985
2012-04-30,77.67889,29.022383,1397.910034
2012-05-01,77.432813,29.013317999999998,1405.819946
2012-05-02,77.94492199999999,28.822978000000003,1402.310059
2012-05-03,77.391575,28.786724,1391.569946
2012-05-04,75.187495,28.079744,1369.099976
2012-05-07,75.750155,27.780638,1369.579956
2012-05-08,75.57723299999999,27.644681,1363.719971
2012-05-09,75.71025300000001,27.880340999999998,1354.579956
2012-05-10,75.888488,27.862213,1357.98999
2012-05-11,75.3817,28.242893,1353.390015
2012-05-14,74.25238900000001,27.80783,1338.349976
2012-05-15,73.58065699999999,27.561497999999997,1330.660034
2012-05-16,72.63757199999999,27.278677000000002,1324.800049
2012-05-17,70.51463199999999,27.114457,1304.859985
2012-05-18,70.549214,26.703909000000003,1295.219971
2012-05-21,74.659417,27.141827000000003,1315.98999
2012-05-22,74.086123,27.150951,1316.630005
2012-05-23,75.89380899999999,26.557935999999998,1318.859985
2012-05-24,75.196809,26.521441999999997,1320.680054
2012-05-25,74.79376500000001,26.512319,1317.819946
